visit_index,target_index,channel,edge,receiver_id,probe_start_sample,candidate_rank,integer_epoch_sample,fractional_epoch_offset_samples,acquired_absolute_baseband_cfo_hz,glrt_residual_cfo_hz,tracking_absolute_baseband_cfo_hz,pilot_nominal_baseband_hz,pilot_relative_raw_cfo_hz,pilot_relative_canonical_display_cfo_hz,pilot_alias_lift,fractional_exact_score,fractional_control_score,fractional_margin,passed_0p025_comparison_gate,integer_device_sample_counter
2170,6,3,upper,0,0,7,7380,0.7231251954250209,919386.336319921,-13760.653409091252,905625.6829108297,312500.0,593125.6829108297,-88692.4989073521,3,0.037412412125784,0.041729798189562316,-0.004317386063778315,False,495085389050
2170,6,3,upper,1,0,0,3884,1.2554701701632809,258019.72263086302,51047.585227274,309067.307858137,312500.0,-3432.6921418629936,-3432.6921418629936,0,0.04039710589703624,0.032688271900692595,0.007708833996343645,False,495085385554
2170,6,3,upper,1,0,3,7894,1.4203170815810342,-302646.4227300772,33291.90340909174,-269354.5193209854,312500.0,-581854.5193209854,99963.66249719635,-3,0.0369481256548934,0.03300143480987841,0.003946690845014991,False,495085389564
2170,6,3,upper,1,0,4,10169,-1.2366219546822452,-244560.47359986661,53267.04545454678,-191293.42814531983,312500.0,-503793.4281453198,-49247.973599865276,-2,0.03800948217627352,0.040907733722887266,-0.002898251546613745,False,495085391839
2170,6,3,upper,1,0,6,10035,-0.2027289578280143,-335142.48109609296,-55042.61363636501,-390185.09473245795,312500.0,-702685.094732458,-20866.91291427624,-3,0.0408171325581475,0.02908470099488074,0.011732431563266761,False,495085391705
2170,6,3,upper,1,0,7,9092,0.586064980786474,-23062.89680960891,11541.19318181847,-11521.703627790439,312500.0,-324021.70362779044,-96748.97635506318,-1,0.03825696150048224,0.039112876188206636,-0.0008559146877243975,False,495085390762
2171,7,4,upper,0,0,0,9287,0.7413770965803823,405020.2263451285,94992.89772727509,500013.1240724036,312500.0,187513.1240724036,-39759.603200323676,1,0.04063262616980969,0.041568406708318906,-0.0009357805385092136,False,495086800197
2171,7,4,upper,0,0,1,2895,0.8073838581516258,-150441.37970146612,15980.113636364034,-134461.2660651021,312500.0,-446961.26606510207,7584.188480352459,-2,0.04272704740597555,0.03856961768006609,0.004157429725909462,False,495086793805
2171,7,4,upper,0,0,2,12160,-0.7650692628734251,798171.5286160167,1331.6761363636697,799503.2047523804,312500.0,487003.2047523804,32457.750206925848,2,0.03851902966260809,0.039123389627233836,-0.0006043599646257461,False,495086803070
2171,7,4,upper,0,0,4,12536,-0.006412831032039479,467844.91020551947,90997.8693181841,558842.7795237035,312500.0,246342.7795237035,19070.052250976238,1,0.04049445203389333,0.04511676849161123,-0.0046223164577179,False,495086803446
